from,to
lp056,lr053
lp056,sr145
lp056,lb102
lp056,mm251
lp056,ss439
vd023,eh034
vd023,nt022
vd023,nd042
vd023,dm100
vd023,ea019
pt018,kh107
pt018,rz015
pt018,hb057
pt018,mk294
pt018,lp053
lb106,ss440
lb106,lb108
lb106,dr064
lb106,sw184
lb106,nt022
hb057,mk294
hb057,kh107
hb057,rz015
hb057,pt018
hb057,ea019
ss440,lb106
ss440,lb108
ss440,do019
ss440,sw184
rz015,hb057
rz015,mk294
rz015,kh107
rz015,pt018
rz015,lp056
do019,ja047
do019,rm046
do019,gk038
do019,jk188
do019,am173
sr145,lr053
sr145,lp056
kh107,rz015
kh107,mk294
kh107,hb057
kh107,pt018
kh107,lp056
mk294,hb057
mk294,kh107
mk294,rz015
mk294,pt018
mk294,ea019
ss445,am173
ss445,ir031
ss445,mm251
ss445,fk088
ss445,lb102
dm100,nd042
dm100,eh034
dm100,vd023
dm100,nt022
dm100,ea019
lr053,sr145
lr053,lp056
nd042,dm100
nd042,eh034
nd042,vd023
nd042,ea019
nd042,nt022
ea019,mm251
ea019,vd023
ea019,eh034
ea019,mk294
ea019,hb057
ir031,ss445
ir031,lb102
ir031,fk088
ir031,am173
ir031,nv010
lb102,ir031
lb102,fk088
lb102,ss445
lb102,mm251
lb102,gk038
ms485,sw184
ms485,nw057
ms485,nr040
ms485,lk122
ms485,al107
lb098,ms485
lb098,nw057
mm251,ea019
mm251,lb102
mm251,ss445
mm251,am173
mm251,nv010
eh034,vd023
eh034,nt022
eh034,lb108
eh034,nd042
eh034,dm100
dr064,nw057
dr064,lk122
dr064,lb098
dr064,ms485
dr064,mm251
al107,lb108
al107,nr040
al107,ms485
al107,gk038
al107,sw184
gk038,am173
gk038,do019
gk038,rm046
gk038,al107
gk038,ja047
rm046,ja047
rm046,gk038
rm046,do019
rm046,nv010
rm046,lb102
fk088,lb102
fk088,ss445
fk088,ir031
fk088,am173
lk122,nw057
lk122,nr040
lk122,ms485
lk122,al107
lk122,sw184
lp053,mk294
lp053,hb057
lp053,dm100
lp053,nd042
lp053,pt018
nv010,am173
nv010,jk188
nv010,do019
nv010,ja047
nv010,mm251
nw057,lk122
nw057,nr040
jk188,am173
jk188,nv010
jk188,do019
jk188,gk038
jk188,ja047
am173,jk188
am173,nv010
am173,ir031
am173,ss445
am173,gk038
ja047,rm046
ja047,do019
ja047,gk038
ja047,jk188
ja047,nv010
lb108,al107
lb108,ss440
lb108,eh034
lb108,lb106
lb108,sw184
nt022,vd023
nt022,eh034
nt022,lb106
nt022,lb102
nt022,ss440
sw184,nr040
sw184,ms485
sw184,eh034
sw184,lk122
sw184,al107
nr040,ms485
nr040,al107
nr040,lk122
nr040,nw057
nr040,sw184
