ID,CRPR,Geschlecht,Alter,Wohnart,1 Zocken,2 Ausgehen / Feiern ,3 Trinken/Essen gehen,4 Kaffee trinken,5 Sport,6 Shoppen,7 Kochen / Backen,8 Filmabend,9 Kunst / Fotografie,10 Ausfluege / Reisen,11 Chillen,12 Spieleabend,13 Reden,soloZocken,soloSport,soloShoppen,soloMusik machen/hoeren,soloKunst/Fotografie,soloFilme/Serien schauen,soloKochen/Backen,soloLesen,soloSchreiben,Religion,Insta,Ernaehrung,Moral,Yanny Laurel
lp056,1,1,3,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,0,3,4,4,1
vd023,2,1,3,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,0,3,3,1,1
pt018,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,0,3,3,1,2
lb106,2,1,4,5,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,0,1,3,2,3
hb057,2,1,5,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,3,4,1,2
ss440,2,1,2,5,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,2,0,2,1,6,2
rz015,1,1,3,5,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,0,1,4,1,1
do019,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,0,3,1,4,3
sr145,2,1,7,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,3,4,1,3
kh107,1,1,3,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,3,3,4,1
mk294,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,3,4,1
ss445,2,1,3,5,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,0,3,1,1
dm100,2,1,6,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,4,3,1,1
lr053,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,0,1
nd042,2,1,3,3,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,0,2,3,1,1
ea019,2,1,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,5,1,1
ir031,2,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,3,1,4,1
lb102,1,1,2,3,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,3,3,1,1
ms485,1,1,5,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,0,3,3,7,2
lb098,1,1,6,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,3,3,1,3
mm251,1,1,3,5,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,3,4,2
eh034,2,1,4,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,0,3,3,4,1
dr064,2,2,8,4,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,0,1,3,1,1
al107,1,1,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,0,1,3,1,1
gk038,1,2,3,5,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,0,1,3,1,2
rm046,1,2,9,5,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,0,2,3,2,2
fk088,2,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,3,1,3
lk122,1,1,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,0,3,3,1,1
lp053,2,2,3,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,0,0,3,1,2
nv010,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,0,1,3,1,1
nw057,1,1,7,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,0,1,1,1,3
jk188,1,2,3,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,0,2,3,1,2
am173,2,1,3,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,0,4,1,1,2
ja047,1,2,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,0,2,3,2,2
lb108,2,1,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,3,1,3
nt022,2,1,7,5,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,5,3,3,1,2
sw184,2,1,4,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,0,2,4,2,1
nr040,1,1,7,5,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,0,1,3,1,1
ss439,1,1,1,5,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,0,2,4,1,2
